time,part,x_r,y_r,z_r,x_d,y_d,z_d
0.633333,nose,-29.2851,19.7245,2.5,-29.7185,18.949,2.5
0.633333,left ear,-15.9765,2.9036,19,-15.676,2.73567,19
0.633333,right ear,-8.11717,16.2633,19,-8.4177,16.4312,19
0.633333,left front paw,-18.2833,6.87113,-8,-16.7507,5.96949,-8
0.633333,right front paw,-12.7057,16.3522,-8,-14.2383,17.2538,-8
0.633333,left hind paw,2.22479,-14.4753,-8,0.692138,-13.5736,-8
0.633333,right hind paw,15.9153,8.79641,-8,17.4479,7.89477,-8
0.633333,tail root,27.6012,-13.7411,-6,27.6012,-13.7411,-6
0.633333,head center,-12.0468,9.58343,19,-12.0468,9.58343,19
0.633333,tail base,9.07003,-2.83942,19,9.07003,-2.83942,19
0.666667,nose,-28.0359,22.6869,2.5,-28.3795,22.1903,2.5
0.666667,left ear,-16.2685,4.7539,19,-16.0761,4.62075,19
0.666667,right ear,-7.25743,17.3654,19,-7.44987,17.4986,19
0.666667,left front paw,-18.215,8.91005,-8,-17.232,8.20765,-8
0.666667,right front paw,-11.8201,17.8601,-8,-12.8031,18.5625,-8
0.666667,left hind paw,0.322968,-14.1679,-8,-0.660075,-13.4655,-8
0.666667,right hind paw,16.0197,7.80053,-8,17.0028,7.09813,-8
0.666667,tail root,25.6647,-15.6829,-6,25.6647,-15.6829,-6
0.666667,head center,-11.763,11.0597,19,-11.763,11.0597,19
0.666667,tail base,8.17134,-3.18369,19,8.17134,-3.18369,19
0.7,nose,-23.7886,28.3916,2.5,-24.0188,28.1731,2.5
0.7,left ear,-15.7953,8.48765,19,-15.7106,8.39846,19
0.7,right ear,-4.47062,19.0708,19,-4.55531,19.16,19
0.7,left front paw,-16.8825,12.9464,-8,-16.449,12.4826,-8
0.7,right front paw,-8.84565,20.457,-8,-9.27912,20.9208,-8
0.7,left hind paw,-3.26818,-13.3386,-8,-3.70165,-12.8747,-8
0.7,right hind paw,16.4586,5.09653,-8,16.8921,4.63268,-8
0.7,tail root,21.275,-19.8294,-6,21.275,-19.8294,-6
0.7,head center,-10.1329,13.7792,19,-10.1329,13.7792,19
0.7,tail base,6.59522,-4.12103,19,6.59522,-4.12103,19
0.733333,nose,-29.4926,22.5688,2.5,-29.5088,22.5446,2.5
0.733333,left ear,-17.2041,4.98874,19,-17.1948,4.98247,19
0.733333,right ear,-8.56692,17.8592,19,-8.57628,17.8655,19
0.733333,left front paw,-19.2717,9.08599,-8,-19.2234,9.05357,-8
0.733333,right front paw,-13.1421,18.2199,-8,-13.1904,18.2523,-8
0.733333,left hind paw,-0.064626,-13.4381,-8,-0.112948,-13.4057,-8
0.733333,right hind paw,14.9808,8.98136,-8,15.0292,8.94894,-8
0.733333,tail root,25.3107,-14.209,-6,25.3107,-14.209,-6
0.733333,head center,-12.8855,11.424,19,-12.8855,11.424,19
0.733333,tail base,7.4581,-2.22839,19,7.4581,-2.22839,19
0.766667,nose,31.2476,-14.9092,2.5,31.0843,-15.1922,2.5
0.766667,left ear,17.6628,1.68949,19,17.7725,1.6262,19
0.766667,right ear,10.0253,-11.7982,19,9.91568,-11.7349,19
0.766667,left front paw,20.0349,-2.23937,-8,20.6036,-2.56143,-8
0.766667,right front paw,14.6147,-11.8113,-8,14.046,-11.4892,-8
0.766667,left hind paw,-0.823215,18.7652,-8,-1.39196,19.0872,-8
0.766667,right hind paw,-14.1272,-4.72959,-8,-13.5585,-5.05165,-8
0.766667,tail root,-26.184,17.6117,-6,-26.184,17.6117,-6
0.766667,head center,13.8441,-5.05437,19,13.8441,-5.05437,19
0.766667,tail base,-7.47522,7.01779,19,-7.47522,7.01779,19
0.8,nose,26.9833,-21.9505,2.5,26.5568,-22.398,2.5
0.8,left ear,17.552,-2.68617,19,17.7255,-2.85144,19
0.8,right ear,7.03388,-14.0712,19,6.86044,-13.9059,19
0.8,left front paw,18.9633,-7.05319,-8,19.8718,-7.89256,-8
0.8,right front paw,11.4988,-15.1329,-8,10.5902,-14.2935,-8
0.8,left hind paw,3.45822,18.1628,-8,2.54967,19.0021,-8
0.8,right hind paw,-14.8637,-1.66922,-8,-13.9551,-2.50859,-8
0.8,tail root,-21.4949,22.8364,-6,-21.4949,22.8364,-6
0.8,head center,12.2929,-8.37868,19,12.2929,-8.37868,19
0.8,tail base,-5.70274,8.24677,19,-5.70274,8.24677,19
0.833333,nose,30.8009,-18.0681,2.5,30.2739,-18.8113,2.5
0.833333,left ear,18.5658,-0.450981,19,18.8538,-0.655213,19
0.833333,right ear,9.88964,-13.2952,19,9.60166,-13.091,19
0.833333,left front paw,20.621,-4.55447,-8,22.1321,-5.57523,-8
0.833333,right front paw,14.4637,-13.6697,-8,12.9526,-12.649,-8
0.833333,left hind paw,1.48215,18.0277,-8,-0.0289972,19.0485,-8
0.833333,right hind paw,-13.6311,-4.34613,-8,-12.12,-5.36689,-8
